batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,demographic_parity
217,0.6966025769503,0.0609459009151,5,409,0.4504504504504504,0.0
991,0.3442851297942,0.0024950376286,1,165,0.011781011781011763,0.07243227660655975
49,0.8685967273854,0.0008618457828,4,1017,0.016493416493416492,0.03316134810447693
50,0.9437450316511,0.0005910444353,4,74,0.01718641718641718,0.004374423623085022
76,0.9822134946503,0.0008504557556,5,64,0.3491337491337491,0.00015786290168762207
65,0.9795727702363,0.0001068989487,1,76,0.2827442827442827,0.0005962580442428588
66,0.9787787446777,0.0001131295059,1,77,0.18835758835758837,0.0009672880172729492
74,0.9600779379491,0.0005680072724,4,74,0.020928620928620932,0.002204310894012451
437,0.7358982056678,0.0067680718763,3,82,0.015523215523215516,0.06420323848724366
97,0.975414576241,0.0001049102864,1,94,0.053776853776853775,0.0013616681098937988
