batch_size,lambda_value,learning_rate,number_of_layers,number_of_neurons_per_layer,1 - accuracy,equalized_odds
242,0.5897873412338,0.0912677296139,2,140,0.24080952628856825,0.0
582,0.0387496336331,0.0003356147463,1,83,0.15346571551661373,0.15618514895439145
784,0.3845574202224,0.0001847464964,2,174,0.18172052228938457,0.05211445748806
67,0.7097184763176,0.0001189245123,3,121,0.18592803996995613,0.00045660257339477547
59,0.7414610540955,0.0001566345967,3,121,0.21218655110870682,4.826903343200683e-05
274,0.2805769559793,0.0001699283651,1,214,0.16596526753712385,0.09872012376785277
708,0.3408219863549,0.000287613577,5,120,0.17668387473776698,0.07591632246971129
526,0.1558490208903,0.0010597119829,3,71,0.15914742995581316,0.1322083044052124
63,0.7211286242085,0.000127498538,3,121,0.1998706753946275,8.319616317749023e-05
867,0.1377772795226,0.0001381888149,5,74,0.16071371243526933,0.12138984680175782
